barcode,product_name,brands,category,latest_price,price_per_100g,energy_kcal_100g,sugars_100g,fat_100g,salt_100g,nutriscore_numeric,nutriscore_grade
3229820796857,Flocons d'avoine,Bjorg,breakfast-cereals,2.99,0.33222222222222225,363.333333333333,0.0,8.0,0.0833333333333333,,a
7613287170989,shredded wheat,Nestlé,breakfast-cereals,3.3,0.8918918918918918,367.0,0.7,2.2,0.05,,a
5010477354051,Muesli Bio Superfruits,Jordans,breakfast-cereals,3.97,0.8822222222222222,360.0,10.2,5.5,0.03,,a
3229820797861,Croustillant 3 noix,Bjorg,breakfast-cereals,4.79,1.0644444444444445,441.0,14.0,17.0,0.02,,b
1242942,Wholegrain Malties,Sainsbury's,breakfast-cereals,1.02,,360.0,10.7,1.67,0.425,,a
4056489300786,Knusper Müsli Schoko,"Crownfield, Lidl",breakfast-cereals,3.45,0.6900000000000001,447.0,13.7,16.2,0.41,,c
3168930010890,Quaker Cruesli Chocolat au lait,Quaker,breakfast-cereals,3.35,0.7444444444444445,457.0,20.0,19.0,0.51,,d
7613032779566,chocapic,"Nestlé, Chocapic",breakfast-cereals,5.98,0.5980000000000001,384.0,19.9,4.4,0.2,,b
7613034947611,NESTLE CHOCAPIC Céréales 750g,Nestlé,breakfast-cereals,3.23,0.43066666666666664,388.0,22.4,4.8,0.22,,c
3229820116716,Muesli aux fruits,Bjorg,breakfast-cereals,4.99,0.6653333333333333,358.0,10.0,6.0,0.02,,a
5060201621805,FUEL10K Protein Boosted Chunky Chocolate Granola imp,Fuel,breakfast-cereals,3.4,0.85,442.0,17.6,13.6,0.04,,c
5060092030977,High Protein Granola Nuts & Seeds,Lizi's,breakfast-cereals,4.99,1.4257142857142857,450.0,12.0,17.0,0.61,,c
5050083296079,Cereales special K original,Kellogg's,breakfast-cereals,3.85,0.77,392.0,15.0,1.3,0.84,,c
3387390019995,NESTLE LION céréales 400g​,"Nestlé, Lion",breakfast-cereals,2.99,0.7475,405.0,24.5,7.4,0.48,,d
7613287136053,Shreddies,Nestle,breakfast-cereals,3.45,0.7500000000000001,364.0,12.5,1.8,0.72,,b
3229820794556,Muesli Protéines,bjorg,breakfast-cereals,4.06,1.0826666666666667,382.0,11.0,12.0,0.03,,a
4056489210016,Muesli 4 nuts,Crownfield,breakfast-cereals,2.37,0.395,454.0,18.1,16.9,0.08,,c
5010477356277,Granola Amandes Noisettes & Graines,Jordans,breakfast-cereals,4.38,1.095,451.0,2.5,14.8,0.03,,a
3564706604360,Muesli pépites croustillantes chocolat-noissette réduit en sucre,"Marque Repère, Grainéa",breakfast-cereals,2.84,0.8114285714285714,432.0,9.3,16.0,0.07,,a
3564706624467,Flocons d'avoine,"Marque Repère, Grainéa",breakfast-cereals,0.85,0.16999999999999998,372.0,0.7,7.0,0.025,,a
5010029227062,Oreo O's,OREO,breakfast-cereals,5.39,1.5399999999999998,382.0,27.0,2.1,0.56,,d
5059319023533,Rice Krispies,Kellogg's,breakfast-cereals,3.03,0.8416666666666666,389.0,7.9,1.2,1.0,,c
5050083516313,Céréales Extra Kellogg's Pépites Chocolat au lait,Kellogg's,breakfast-cereals,3.04,0.608,484.0,25.0,22.0,0.68,,e
5050083535079,Céréales Trésor Kellogg's Chocolat Noisettes - 1kg,Kellogg's,breakfast-cereals,6.38,0.638,456.0,26.0,14.0,1.1,,e
3229820797946,Muesli,Bjorg,breakfast-cereals,4.91,0.6546666666666667,352.0,14.0,5.8,0.03,,a
4056489462828,Simply porridge oats,Lidl,breakfast-cereals,0.85,0.08499999999999999,368.0,1.0,8.5,0.025,,a
8480000094926,nan,"Hacendado, Mercadona",breakfast-cereals,2.55,0.51,367.0,26.0,9.3,0.11,,c
3421557910203,Flocons d'avoine complets,Terres & Céréales BIO,breakfast-cereals,2.2,0.44000000000000006,371.0,0.9,7.0,0.01,,a
4056489209980,Crunchy Muesli Multi Fruit,CROWNFIELD,breakfast-cereals,2.24,0.37333333333333335,426.0,24.1,13.9,0.245,,d
8445290728791,KitKat Cereal,Nestlé,breakfast-cereals,3.92,1.187878787878788,420.0,24.7,10.9,0.37,,d
3387390339505,nan,"Golden grahams,Nestlé",breakfast-cereals,2.42,0.6453333333333333,378.0,24.5,3.3,0.97,,d
3421557501722,Muesli croustillant tradition,Terres et Céréales,breakfast-cereals,6.15,0.615,440.0,20.0,13.0,0.05,,c
5053827101424,Smacks,"Kellogg's, Smacks",breakfast-cereals,2.72,0.68,377.0,34.0,1.6,0.02,,d
20425609,Multigrain Hoops,Crownfield,breakfast-cereals,0.85,0.22666666666666666,376.0,17.7,2.7,0.6875,,c
3421557501975,Muesli croustillant duo pépites,Terres et céréales bio,breakfast-cereals,7.15,,433.0,25.0,13.0,0.05,,c
5000119684257,FRUIT & FIBRE FRUITY CRUNCH,TESCO,breakfast-cereals,1.65,0.22,367.0,22.0,5.1,0.5,,c
7613031370641,Lion cereal with caramel and chocolate,Nestlé,breakfast-cereals,36.0,9.0,405.0,24.5,7.4,0.48,,d
5053827199667,Céréales trésor - chocolat au lait,Kellogg's,breakfast-cereals,3.61,0.8804878048780488,448.0,25.0,15.0,0.96,,e
8010265640202,Corn Flakes,Kellogg's,breakfast-cereals,2.89,0.7706666666666667,378.0,8.0,0.9,1.1,,d
4056489687337,Muesli Crunchy,"Crownfield, Lidl",breakfast-cereals,2.79,0.558,445.0,16.0,15.8,0.00013,,c
8480000094889,Copos de trigo integral y arroz 0% azúcares añadidos,"Hacendado,Mercadona",breakfast-cereals,2.0,0.4,373.0,0.667,1.67,0.6,,a
5059319025711,Special K Chocolat noir,Kellogg's,breakfast-cereals,4.4,0.8800000000000001,424.0,17.0,6.1,0.64,,d
3564706612792,Muesli 4 Noix,"Marque Repère, Grainéa",breakfast-cereals,2.03,0.40599999999999997,463.0,16.0,18.0,0.15,,c
3168930010869,nan,QUAKER,breakfast-cereals,6.04,0.6711111111111111,455.0,16.0,19.0,0.48,,c
5010029229110,"Crispy Minis Choco, céréales de blé complet enrichies en vitamines et en fer avec du chocolat",Weetabix,breakfast-cereals,4.35,0.8699999999999999,385.0,17.0,5.0,0.16,,b
3250391896554,Flocons d'avoine complète 500g,Chabrior,breakfast-cereals,0.85,0.16999999999999998,369.0,1.1,6.8,0.05,,a
5053827110679,Froot Loops,Kellogg's,breakfast-cereals,3.79,1.0106666666666666,385.0,25.0,3.0,1.13,,d
7613036669498,CHEERIOS BIO Céréale 375g,"Nestlé, Cheerios",breakfast-cereals,3.37,0.8986666666666667,388.0,18.0,6.6,0.65,,c
7613035144699,NESTLE NESQUIK Céréales 450g,"Nestlé, Nesquik",breakfast-cereals,3.05,0.6777777777777777,377.0,22.4,2.8,0.22,,c
3560071190965,Flocons d'avoine,"Carrefour BIO,Carrefour",breakfast-cereals,1.69,0.33799999999999997,372.0,0.7,7.0,0.01,,a
7622210449283,Prince Goût Chocolat,LU,sweet-snacks,1.46,0.48666666666666664,465.0,31.5,17.5,0.5,,e
3046920029759,Excellence Noir Prodigieux 90% Cacao,Lindt,sweet-snacks,2.48,2.48,592.0,7.0,55.0,0.03,,e
6111031005064,Tonik,عربي,sweet-snacks,1.0,4.545454545454546,504.0,40.0,22.2,0.217,,e
3175680011480,Sésame,Gerblé,sweet-snacks,1.54,0.6695652173913044,467.0,17.0,18.0,0.38,,c
20995553,Chocolat noir - 85% cacao,J. D. Gross,sweet-snacks,1.73,1.384,600.0,12.0,48.0,0.0,,d
8425197712024,nan,Maruja,sweet-snacks,1.6,1.0666666666666667,539.0,50.0,33.0,0.275,,e
8000500310427,Biscuits croquants au coeur onctueux de Nutella®,Nutella,sweet-snacks,3.05,1.0032894736842104,515.0,35.8,24.8,0.559,,e
3046920022651,Excellence Noir Intense 70% Cacao,Lindt,sweet-snacks,1.85,1.85,566.0,30.0,41.0,0.02,,e
3046920022606,Excellence Noir Puissant 85% Cacao,Lindt,sweet-snacks,2.33,2.33,584.0,15.0,46.0,0.02,,e
3229820100234,Fourrés Chocolat Noir,Bjorg,sweet-snacks,3.29,1.4622222222222223,476.0,27.0,19.0,0.49,,d
20022464,Extra dark 74% Cocoa,fin CARRÉ,sweet-snacks,1.29,1.29,571.0,26.0,42.0,0.02,,e
3046920028004,70% chocolate,Lindt & Sprüngli,sweet-snacks,4.45,4.45,566.0,30.0,41.0,0.0975,,e
3175681851849,Pomme 🍏 🍎 Noisette🥜,Gerblé,sweet-snacks,1.91,0.8304347826086956,453.0,11.0,17.0,0.01,,b
3046920028363,Excellence 85% Cacao Rich Dark,Lindt,sweet-snacks,3.99,3.99,578.0,15.0,46.0,0.0125,,e
20095291,Edelbitter 70% Cacao,J.D Gross,sweet-snacks,8.99,7.192,565.0,27.2,41.5,0.03,,e
3251490332080,Figue & son,Gerblé,sweet-snacks,1.63,0.7761904761904761,450.0,16.0,19.0,0.19,,b
3046920028721,Bitter Extra Kraftig,"Lindt,Lindt&Sprüngli",sweet-snacks,2.58,5.16,573.0,1.0,49.0,0.7,,e
7613035040823,Nestlé Dessert,Nestlé,sweet-snacks,2.09,1.0195121951219512,548.0,46.4,34.1,0.01,,e
3256540000698,Pains au lait x10,Pasquier,sweet-snacks,1.25,0.35714285714285715,353.0,11.0,11.0,0.00275,,c
3045140105502,Chocolat au lait,Milka,sweet-snacks,2.0,2.0,539.0,55.0,31.0,0.275,,e
3284230006408,Brioche Tranchée Bio 400g,La Boulangère,sweet-snacks,2.95,0.7375,336.0,13.0,9.4,0.95,,c
40896243,Lidl Organic Dark Chocolate,LIDL,sweet-snacks,1.59,1.59,600.0,26.666666666667,40.0,0.0,,e
3046920029780,Excellence Noir Subtil Doux 70% Cacao,Lindt Excellence,sweet-snacks,1.79,1.79,610.0,29.0,48.0,0.01,,e
3587220002252,La gâche tranchée,La Fournée Dorée,sweet-snacks,2.19,0.438,341.0,13.0,12.0,1.12,,e
7622210601988,Granola L'Original,"LU, Mondelez International",sweet-snacks,1.11,0.555,491.0,28.0,23.0,1.2,,e
80052760,Kinder Bueno,Kinder,sweet-snacks,5.15,11.976744186046513,572.0,41.2,37.3,0.1975,,e
3175681851856,Biscuit raisins,Gerblé,sweet-snacks,2.56,0.9481481481481481,442.0,17.0,14.0,0.2,,c
3229820794525,Nutri+ avoine chocolat,Bjorg,sweet-snacks,2.2,1.6923076923076923,454.0,17.0,18.0,0.61,,c
3061990143365,Goût chocolat,BN,sweet-snacks,1.65,0.5789473684210525,463.0,30.0,17.0,0.47,,e
8410076610737,Protein Cacahuetes🥜 & Chocolat🍫,Nature Valley,sweet-snacks,3.16,1.975,488.0,17.0,28.2,0.956,,not-applicable
5000159461122,Snickers,Snickers,sweet-snacks,29.0,58.0,481.0,51.8,22.5,0.62875,,e
7622201133337,Figolu,LUMondelez,sweet-snacks,1.44,0.75,400.0,50.0,8.12,0.000937,,e
8410076601131,Crunchy avoine et miel,Nature ValleyGeneral Mills,sweet-snacks,3.12,1.4857142857142858,467.0,26.8,18.1,0.835,,d
3175680011534,Biscuit lait chocolat,"Gerblé,Gerblé Vitalité,Nutrition & Santé",sweet-snacks,1.99,0.8652173913043479,457.0,21.0,17.0,0.74,,d
4014400400007,Toffifee 15er,Storck,sweet-snacks,1.49,1.192,521.0,48.8,29.0,0.27,,e
8410076601148,Crunchy Avoine & Chocolat Noir x 5 x 2 barres de 21 g,"General Mills,Nature Valley",sweet-snacks,3.89,1.8523809523809525,473.0,26.8,19.8,0.65,,d
3175681105423,Cookie🍪 cacao pépites Sans Sucre,Gerblé,sweet-snacks,3.12,2.4,414.0,0.0,18.0,0.21,,b
16811207,petit déjeuner miel et pépites de chocolat,belvita,sweet-snacks,2.15,0.4942528735632184,409.0,26.0,15.0,1.4,,d
3175680011442,Biscuit soja orange,Gerblé,sweet-snacks,1.63,0.5821428571428572,444.0,18.0,14.0,0.36,,c
5000168198491,Sablés Anglais L'Original,"McVitie's,United Biscuits",sweet-snacks,2.29,0.5725,483.0,15.1,21.3,1.3,,e
3229820021027,P'tit Nature Complet,Bjorg,sweet-snacks,1.57,0.785,416.0,20.0,10.0,0.45,,c
3046920010047,Excellence Noir Corsé 78% Cacao,Lindt Excellence,sweet-snacks,2.7,2.7,576.0,3.4,46.0,0.0075,,d
3229820181950,Fourrés Chocolat au Lait,Bjorg,sweet-snacks,3.37,1.4977777777777779,486.0,30.0,20.0,0.52,,e
7622210995087,180G C OR NOIR NOISETTE,"Côte D’Or, Mondelez",sweet-snacks,3.66,2.033333333333333,569.0,40.0,39.0,0.01,,e
80135876,Nutella 400g,"Nutella,Ferrero",sweet-snacks,1699.0,424.75,539.0,56.3,30.9,0.1075,,e
8000500023976,Coco specialty,"Confetteria Raffaello,Ferrero",sweet-snacks,4.48,2.986666666666667,630.0,34.0,48.0,0.267,,e
5060088707685,Barres de fruits secs & noix Myrtilles,nakd,sweet-snacks,3.39,2.4214285714285717,368.0,49.0,11.0,0.01,,d
3175681209282,Goûter 4S Saveur pommes,Gerblé,sweet-snacks,2.1,0.5833333333333334,456.0,8.9,17.0,0.05,,b
5060088700112,Protein Cocoa Hazelnut Bars,Nakd,sweet-snacks,2.99,2.214814814814815,421.0,25.2,21.7,0.01,,not-applicable
7622210476296,Thé - Biscuits,Lu,sweet-snacks,1.47,0.42,453.0,26.0,14.0,0.7,,e
3178530410105,Petites Madeleines,St Michel,sweet-snacks,2.21,0.442,419.0,23.0,21.0,0.71,,d
3251490307002,Goûter pépites de chocolat,Gerblé,sweet-snacks,2.15,0.86,452.0,21.2,16.8,0.27,,d
80761761,Kinder Bueno White,Kinder,sweet-snacks,19.99,51.25641025641025,571.0,43.9,35.9,0.33,,e
7622201809638,Napolitain l'Original,"LU, Mondelez, Mondelez International",sweet-snacks,1.73,0.961111111111111,430.0,32.0,19.7,1.2,,e
3175681066632,Biscuits pavot citron,Gerblé,sweet-snacks,1.86,0.93,454.0,16.0,16.0,0.36,,c
7622210713889,Belvita Original Petit-Déjeuner miel et pépites de chocolat,LU,sweet-snacks,3.45,0.7840909090909091,444.0,28.0,15.0,0.69,,d
7622210421968,Véritable Petit Écolier Chocolat au Lait,"LU,Mondelez International",sweet-snacks,1.92,1.28,498.0,39.0,23.0,0.64,,e
8410376009392,Galletas fibra zero azúcares,Gullón,sweet-snacks,1600.0,941.1764705882354,431.0,0.5,17.0,0.65,,b
7622210713780,Belvita Petit Déjeuner Chocolat,"LU,Mondelez",sweet-snacks,3.3,0.825,439.0,27.0,14.0,0.62,,d
4056489471264,Edelbitter Mild 90%,J.D. Gross,sweet-snacks,1.49,1.192,605.0,7.3,51.9,0.02,,d
3017760000062,Véritable Petit Beurre Pocket,lu,sweet-snacks,2.03,0.6766666666666666,440.0,23.0,12.0,1.3,,e
20713713,Chocolat noir Equateur Bio,J.D. Gross,sweet-snacks,1.87,1.87,639.0,14.0,55.3,0.01,,d
3251490320001,Biscuit complet au germe de blé,Gerblé,sweet-snacks,1.63,0.7761904761904761,440.0,21.4,14.3,0.238,,c
7622210100917,Milka galette choco,LU,sweet-snacks,2.0,0.7692307692307692,504.5411089071,35.0,24.0,0.59,,e
3046920027885,Excellence Noir à la Pointe de Fleur de Sel,Lindt,sweet-snacks,2.32,2.32,537.0,47.0,32.0,0.37,,e
5060088706022,NAKD Cacahuètes - 140g (4x1p),"Nakd., Lotus Bakeries",sweet-snacks,2.87,2.0500000000000003,442.0,35.0,23.0,0.58,,not-applicable
3228857001316,Brioche Tranchée Recette Classique,Harrys,sweet-snacks,2.39,0.49278350515463926,345.0,15.0,11.0,1.1,,d
7622210476104,Véritable Petit Beurre,Lu,sweet-snacks,2.16,0.54,440.0,23.2,12.0,1.4,,e
8410076610621,"Sweet & Salty Nut chocolat noir et mélange de noix, 5 barres de 30 g","General Mills France,Nature valley",sweet-snacks,3.75,2.5,464.0,23.3,22.9,0.93,,d
20005832,Dark Chocolate,Fin Carré,sweet-snacks,1.29,1.29,531.0,47.7,31.5,0.01,,e
3017760756198,Granola LU,LU,sweet-snacks,2.18,1.184782608695652,503.0,36.0,26.0,1.0,,e
7622210713926,Belvita Brut & 5 céréales complètes,Lu,sweet-snacks,2.45,0.6125,438.0,22.0,14.0,1.4,,d
3251491787810,Goûter aux raisins,Gerblé,sweet-snacks,1.93,0.5361111111111111,434.0,21.0,14.0,0.0,,c
7622300689124,Granola L'original Gros éclats de chocolat,"Granola,LU,Mondelez",sweet-snacks,2.69,0.9746376811594204,503.0,36.0,26.0,1.0,,e
7614500010013,Toblerone,Toblerone,sweet-snacks,1.49,1.49,528.0,60.0,28.0,0.12,,e
3229820004334,Le cookie Chocolat Noisette,Bjorg,sweet-snacks,2.56,1.28,496.0,29.0,26.0,0.36,,d
3023470001015,Galettes St Michel au beurre 4X5 - 130g,St michel,sweet-snacks,1.15,0.8846153846153845,470.0,26.0,16.0,0.87,,e
7622210476241,Petit brun extra,"Brun,Mondelez",sweet-snacks,1.52,0.5066666666666667,441.0,25.0,12.0,0.8,,e
3061990143594,"BN - Casse Croute Biscuits, 375g",BN,sweet-snacks,1.62,0.405,381.0,25.6,5.0,0.00156,,d
3251491787803,Goûter aux écorces confites,Gerblé,sweet-snacks,1.91,0.5305555555555556,445.0,20.0,15.0,0.03,,c
20177201,Шоколад с 6% парченца малини,"J.D. Gross, Lidl",sweet-snacks,2.39,1.9120000000000001,552.0,28.8,39.2,0.08,,e
3045140118502,Milka Tablette Noisette,"Milka, Mondelez",sweet-snacks,2.43,2.43,563.0,45.0,37.0,0.22,,e
3175681116832,Sablé saveur COCO,Gerblé,sweet-snacks,2.56,1.9393939393939394,427.2,0.0,15.0,0.2,,c
7622210444141,Moelleux chocolat,"Belvita, LU, Mondelez International",sweet-snacks,2.91,1.1640000000000001,399.0,18.0,14.0,0.44,,c
8000500273296,Ferrero Rocher,Ferrero,sweet-snacks,9.75,2.6,603.0,39.9,42.7,0.15,,e
20177218,NOIR DEGUSTATION 70% CARAMEL,"J.D. Gross, Lidl",sweet-snacks,2.39,1.9120000000000001,544.0,35.2,36.8,0.16,,e
3046920029681,Excellence Noir Délicat Doux 85% Cacao,Lindt EXCELLENCE,sweet-snacks,2.51,2.51,603.0,14.0,55.0,0.03,,e
3178530402728,La Madeleine Pur beurre,Bonne Maman,sweet-snacks,2.9,0.9666666666666667,435.0,29.0,25.0,0.86,,e
7622300336738,Oreo Original,"Mondelez,Oreo",sweet-snacks,2.9,1.883116883116883,472.0,35.0,19.0,0.76,,e
3034470003107,Benco Original,Benco,sweet-snacks,2.27,0.5675,180.0,37.1,1.1,0.105,,e
3229820794532,Nutri+ avoine complet,Bjorg,sweet-snacks,2.19,1.6846153846153846,442.0,16.0,15.0,0.35,,c
8000500267035,Cacao,Kinder,sweet-snacks,0.85,2.1794871794871793,451.0,43.1,22.8,0.32,,e
3175681257566,Gingembre saveur citron 🍋,Gerblé,sweet-snacks,3.35,2.5378787878787876,456.0,17.0,16.0,0.44,,c
4008400260921,Kinder Country,"Kinder, Ferrero",sweet-snacks,2.98,1.4089834515366428,561.0,49.1,33.8,0.275,,e
8013355999143,Gocciole classiche pav 500 gr,Pavesi,sweet-snacks,3.79,0.758,488.0,22.0,22.0,0.53,,e
8410076610744,Protein Caramel salé Cacahuètes,Nature Valley,sweet-snacks,3.9,2.4375,495.0,15.8,29.5,0.925,,d
4088600132334,85% Cocoa - Dark Chocolate,Moser Roth,sweet-snacks,2.49,1.9920000000000002,604.0,13.2,49.6,0.0012,,d
3700214611548,Noir equitable 85% Pérou,Alter Eco,sweet-snacks,3.65,3.65,631.0,14.0,53.0,0.01,,d
8000500269169,Kinder Cards,"Ferrero,Kinder",sweet-snacks,2.05,1.6015624999999998,510.0,42.9,26.3,0.445,,e
3178530410143,Petites Madeleines pépites chocolat,St Michel,sweet-snacks,2.67,0.6675,425.0,29.0,21.0,0.69,,d
